Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,Demand_Supply_Ratio,Demand_class,Supply_class,base_cost,demand_supply_factor,Peak_hour,S/D_surge_charge,Vehical_charge,Location_time_surge,loyalty_discount,New_cost
90,45,Urban,Silver,13,4.47,Night,Premium,90,284.25727302188227,2.0,Lower_demand,Higher_supply,315.0,1.0,low peak,0.0,15.75,0.0,15.75,315.0
58,39,Suburban,Silver,72,4.06,Evening,Economy,43,173.87475274940766,1.4871794871794872,Lower_demand,Higher_supply,150.5,0.4871794871794872,low peak,0.0,3.7625,0.0,7.525,146.73749999999998
42,31,Rural,Silver,0,3.99,Afternoon,Premium,76,329.7954689622466,1.3548387096774193,Lower_demand,Higher_supply,266.0,0.35483870967741926,low peak,0.0,13.3,0.0,13.3,266.0
89,28,Rural,Regular,67,4.31,Afternoon,Premium,134,470.2012317513198,3.1785714285714284,Higher_demand,Lower_supply,469.0,2.1785714285714284,Peak hours,357.61249999999995,23.450000000000003,14.07,4.69,859.4425
78,22,Rural,Regular,74,3.77,Afternoon,Economy,149,579.6814223640141,3.5454545454545454,Higher_demand,Lower_supply,521.5,2.5454545454545454,Peak hours,464.60909090909087,13.037500000000001,15.645,5.215,1009.5765909090908
59,35,Urban,Silver,83,3.51,Night,Economy,128,339.9553606047221,1.6857142857142857,Lower_demand,Higher_supply,448.0,0.6857142857142857,low peak,0.0,11.200000000000001,0.0,22.400000000000002,436.8
93,43,Suburban,Regular,44,4.41,Afternoon,Premium,16,104.06154127359152,2.1627906976744184,Lower_demand,Higher_supply,56.0,1.1627906976744184,low peak,0.0,2.8000000000000003,0.0,0.56,58.239999999999995
62,39,Rural,Gold,83,3.59,Afternoon,Premium,47,235.81186355605,1.5897435897435896,Lower_demand,Higher_supply,164.5,0.5897435897435896,low peak,0.0,8.225,0.0,16.45,156.275
79,14,Rural,Silver,71,3.74,Evening,Economy,128,501.4125174833056,5.642857142857143,Higher_demand,Lower_supply,448.0,4.642857142857143,Peak hours,728.0,11.200000000000001,13.44,22.400000000000002,1178.24
42,6,Rural,Silver,21,3.85,Night,Premium,128,398.9933645706103,7.0,Higher_demand,Lower_supply,448.0,6.0,Peak hours,940.7999999999998,22.400000000000002,13.44,22.400000000000002,1402.2399999999998
